ACCTCD,DR_sum,CR_sum,balance,Differ
61100,41142000,41142000,0,0
61200,23955959,23955959,0,0
61200,23955959,23955959,0,0
61300,27277120,27277120,0,0
61300,27277120,27277120,0,0
61400,15922075,15922075,0,0
61400,15922075,15922075,0,0
61500,101637816,101637816,0,0
61500,101637816,101637816,0,0
61700,7804962,7804962,0,0
61700,7804962,7804962,0,0
61800,238622590,238622590,0,0
61800,238622590,238622590,0,0
61900,207897906,207897906,0,0
61900,207897906,207897906,0,0
62000,4812500,4812500,0,0
62000,4812500,4812500,0,0
62100,1276490,1276490,0,0
62100,1276490,1276490,0,0
62300,444558,444558,0,0
62300,444558,444558,0,0
62400,693968980,693968980,0,0
62400,693968980,693968980,0,0
62500,22500,22500,0,0
62500,22500,22500,0,0
62600,4484350,4484350,0,0
62600,4484350,4484350,0,0
62700,5606960,5606960,0,0
62700,5606960,5606960,0,0
63000,29742687,29742687,0,0
63000,29742687,29742687,0,0
63100,66760365,66760365,0,0
63100,66760365,66760365,0,0
63300,626117522,626117522,0,0
63300,626117522,626117522,0,0
71500,57575363,57575363,0,0
71500,57575363,57575363,0,0
71800,83030559,83030559,0,0
71800,83030559,83030559,0,0
73800,107005421,107005421,0,0
73800,107005421,107005421,0,0
80200,993907754,0,-993907754,1987815508
80200,993907754,0,993907754,0
80300,78031630,0,-78031630,156063260
80300,78031630,0,78031630,0
80500,46631111,0,-46631111,93262222
80500,46631111,0,46631111,0
80800,83464473,0,-83464473,166928946
80800,83464473,0,83464473,0
81100,258088221,0,-258088221,516176442
81100,258088221,0,258088221,0
81200,11073180,0,-11073180,22146360
81200,11073180,0,11073180,0
81301,227987829,0,-227987829,455975658
81301,227987829,0,227987829,0
81400,23582880,0,-23582880,47165760
81400,23582880,0,23582880,0
81500,28211408,0,-28211408,56422816
81500,28211408,0,28211408,0
81700,203347435,0,-203347435,406694870
81700,203347435,0,203347435,0
81800,136590578,0,-136590578,273181156
81800,136590578,0,136590578,0
81900,87440970,0,-87440970,174881940
81900,87440970,0,87440970,0
82000,3652000,0,-3652000,7304000
82000,3652000,0,3652000,0
82100,29034647,0,-29034647,58069294
82100,29034647,0,29034647,0
82200,18373464,0,-18373464,36746928
82200,18373464,0,18373464,0
82400,935670,0,-935670,1871340
82400,935670,0,935670,0
82500,5211400,0,-5211400,10422800
82500,5211400,0,5211400,0
82600,9723050,0,-9723050,19446100
82600,9723050,0,9723050,0
82701,6575568,0,-6575568,13151136
82701,6575568,0,6575568,0
83000,54748488,0,-54748488,109496976
83000,54748488,0,54748488,0
83100,692782659,0,-692782659,1385565318
83100,692782659,0,692782659,0
83300,178276086,0,-178276086,356552172
83300,178276086,0,178276086,0
83500,-230485259,0,230485259,-460970518
83500,-230485259,0,-230485259,0
83700,84477963,0,-84477963,168955926
83700,84477963,0,84477963,0
83900,93828725,0,-93828725,187657450
83900,93828725,0,93828725,0
84000,1877381945,0,-1877381945,3754763890
84000,1877381945,0,1877381945,0
84001,883377260,0,-883377260,1766754520
84001,883377260,0,883377260,0
84002,30424690,0,-30424690,60849380
84002,30424690,0,30424690,0
84003,-1309124319,0,1309124319,-2618248638
84003,-1309124319,0,-1309124319,0
84004,-799333763,0,799333763,-1598667526
84004,-799333763,0,-799333763,0
85100,851991,0,-851991,1703982
85100,851991,0,851991,0
85200,567418,0,-567418,1134836
85200,567418,0,567418,0
85300,16429072,0,-16429072,32858144
85300,16429072,0,16429072,0
85400,17985175,0,-17985175,35970350
85400,17985175,0,17985175,0
90100,0,181680337,181680337,-363360674
90100,0,181680337,-181680337,0
90300,0,13441220,13441220,-26882440
90300,0,13441220,-13441220,0
90700,0,5212288,5212288,-10424576
90700,0,5212288,-5212288,0
91000,0,0,0,0
91400,0,18997000,18997000,-37994000
91400,0,18997000,-18997000,0
91500,0,0,0,0
92100,0,99554260,99554260,-199108520
92100,0,99554260,-99554260,0
92201,0,718386,718386,-1436772
92201,0,718386,-718386,0
92500,0,817976776,817976776,-1635953552
92500,0,817976776,-817976776,0
93000,0,17697176,17697176,-35394352
93000,0,17697176,-17697176,0
93100,136983058,0,-136983058,273966116
93100,136983058,0,136983058,0
93200,744181,0,-744181,1488362
93200,744181,0,744181,0
93300,8600000,0,-8600000,17200000
93300,8600000,0,8600000,0
93500,13286083,0,-13286083,26572166
93500,13286083,0,13286083,0
94000,16200000,0,-16200000,32400000
94000,16200000,0,16200000,0
94600,560985444,0,-560985444,1121970888
94600,560985444,0,560985444,0
95000,22000,0,-22000,44000
95000,22000,0,22000,0
95100,4289392,0,-4289392,8578784
95100,4289392,0,4289392,0
95500,11000000,0,-11000000,22000000
95500,11000000,0,11000000,0
96000,13944550,0,-13944550,27889100
96000,13944550,0,13944550,0
98300,99999000,0,-99999000,199998000
98300,99999000,0,99999000,0
99800,1018572999,0,-1018572999,2037145998
99800,1018572999,0,1018572999,0
