JENO,DR_sum,CR_sum,Differ
201702083,199375,199375,0
201702085,358600,358600,0
201702086,176120,176120,0
201702087,44000,44000,0
201702088,540,540,0
201702089,44400,44400,0
201702091,8551002,8551002,0
201702092,154000,154000,0
201702093,319810,319810,0
201702094,1900000,1900000,0
201702095,590000,590000,0
201702096,420000,420000,0
201702097,1100000,1100000,0
201702098,2462900,2462900,0
201702099,557040,557040,0
201702101,149372300,149372300,0
201702102,-66000,-66000,0
201702103,27500000,27500000,0
201702104,158510,158510,0
201702105,480,480,0
201702106,220000,220000,0
201702107,101158500,101158500,0
201702109,27675490,27675490,0
201702121,66000,66000,0
201702131,92023800,92023800,0
201702132,55148500,55148500,0
201702133,2200000,2200000,0
201702134,1210000,1210000,0
201702135,896500,896500,0
201702136,880000,880000,0
201702137,1400000,1400000,0
201702138,850000,850000,0
201702139,2750000,2750000,0
201702141,1155000,1155000,0
201702142,55000,55000,0
201702143,10494780,10494780,0
201702144,686070,686070,0
201702145,99000,99000,0
201702146,385000,385000,0
201702147,325710,325710,0
201702148,1894200,1894200,0
201702151,32492363,32492363,0
201702152,32438717,32438717,0
201702153,-7260000,-7260000,0
201702154,7260000,7260000,0
201702155,836000,836000,0
201702156,605000,605000,0
201702157,550000,550000,0
201702158,495000,495000,0
201702159,750000,750000,0
201702161,3600000,3600000,0
201702162,121000,121000,0
201702163,121000,121000,0
201702164,297000,297000,0
201702165,330000,330000,0
201702166,139332,139332,0
201702167,275000,275000,0
201702168,121000,121000,0
201702169,200000,200000,0
201702171,300000,300000,0
201702173,1540000,1540000,0
201702174,66000,66000,0
201702175,715000,715000,0
201702176,1100000,1100000,0
201702177,2703715,2703715,0
201702179,87120,87120,0
201702201,4400000,4400000,0
201702202,1760000,1760000,0
201702203,1573000,1573000,0
201702204,1900000,1900000,0
201702205,2000000,2000000,0
201702206,825000,825000,0
201702207,2200000,2200000,0
201702208,3740000,3740000,0
201702209,880000,880000,0
201702211,1757549,1757549,0
201702212,1260600,1260600,0
201702213,3118500,3118500,0
201702214,6006200,6006200,0
201702215,336440,336440,0
201702216,7269693,7269693,0
201702217,105300000,105300000,0
201702218,165000,165000,0
201702219,32450,32450,0
201702221,38500000,38500000,0
201702222,13475000,13475000,0
201702223,66000000,66000000,0
201702224,1306800,1306800,0
201702225,435600,435600,0
201702226,7960,7960,0
201702227,616000,616000,0
201702228,10576500,10576500,0
201702229,4246000,4246000,0
201702231,70720000,70720000,0
201702232,16140000,16140000,0
201702233,1353000,1353000,0
201702234,1057100,1057100,0
201702235,1959452,1959452,0
201702236,668745,668745,0
201702237,1074282,1074282,0
201702238,2376121,2376121,0
201702239,2015900,2015900,0
201702241,1100000,1100000,0
201702242,250000,250000,0
201702243,396000,396000,0
201702244,916666,916666,0
201702245,5060000,5060000,0
201702246,1100000,1100000,0
201702247,55000,55000,0
201702248,605000,605000,0
201702249,1100000,1100000,0
201702251,990000,990000,0
201702252,1452000,1452000,0
201702253,926640,926640,0
201702254,528000,528000,0
201702255,570000,570000,0
201702256,1100000,1100000,0
201702257,605000,605000,0
201702258,660000,660000,0
201702259,715000,715000,0
201702261,66000,66000,0
201702262,66000,66000,0
201702272,1040000,1040000,0
201702273,45100,45100,0
201702274,557040,557040,0
201702275,110000,110000,0
201702276,19250,19250,0
201702277,8400,8400,0
201702278,7840,7840,0
201702279,297390,297390,0
201702281,6000,6000,0
201702282,4535300,4535300,0
201702283,4800000,4800000,0
201702284,0,0,0
201702285,0,0,0
201702286,0,0,0
201702287,0,0,0
201702289,1100000,1100000,0
201703012,-1200000,-1200000,0
201703013,332673,332673,0
201703014,10811000,10811000,0
201703015,-2420000,-2420000,0
201703016,2420000,2420000,0
201703017,-88000,-88000,0
201703018,-88000,-88000,0
201703019,-77000,-77000,0
201703021,30000000,30000000,0
201703022,10000000,10000000,0
201703023,2861870,2861870,0
201703024,15978600,15978600,0
201703025,15549600,15549600,0
201703026,7700000,7700000,0
201703027,7000000,7000000,0
201703028,22275000,22275000,0
201703029,101200,101200,0
201703031,485100,485100,0
201703032,5060000,5060000,0
201703033,14469000,14469000,0
201703034,4290000,4290000,0
201703035,19030000,19030000,0
201703036,7150000,7150000,0
201703037,13200000,13200000,0
201703038,8030000,8030000,0
201703039,8800000,8800000,0
201703051,550000,550000,0
201703052,770000,770000,0
201703053,5753000,5753000,0
201703054,154000,154000,0
201703061,394440,394440,0
201703062,394440,394440,0
201703063,788880,788880,0
201703064,66000,66000,0
201703065,219500,219500,0
201703066,2200000,2200000,0
201703067,660000,660000,0
201703068,420000,420000,0
201703069,1100000,1100000,0
201703072,3300000,3300000,0
201703073,1100000,1100000,0
201703074,84400,84400,0
201703075,448070,448070,0
201703076,8200,8200,0
201703077,89280,89280,0
201703078,334669,334669,0
201703079,297500,297500,0
201703081,2200000,2200000,0
201703082,16632000,16632000,0
201703083,83416300,83416300,0
201703084,1989900,1989900,0
201703085,435600,435600,0
201703086,105050,105050,0
201703087,110000,110000,0
201703088,609400,609400,0
201703089,1425600,1425600,0
201703091,-6300000,-6300000,0
201703092,6300000,6300000,0
201703093,12700000,12700000,0
201703094,374120,374120,0
201703095,1378470,1378470,0
201703096,133470,133470,0
201703097,1974560,1974560,0
201703098,8833000,8833000,0
201703099,550000,550000,0
201703101,770000,770000,0
201703102,600000,600000,0
201703103,407000,407000,0
201703104,990000,990000,0
201703105,660000,660000,0
201703106,1100000,1100000,0
201703107,440000,440000,0
201703108,605000,605000,0
201703109,1200000,1200000,0
201703111,5000000,5000000,0
201703121,400000,400000,0
201703131,125000,125000,0
201703132,66000,66000,0
201703134,4207500,4207500,0
201703135,14000,14000,0
201703136,3333990,3333990,0
201703137,1755600,1755600,0
201703138,6657200,6657200,0
201703139,1496000,1496000,0
201703141,2093300,2093300,0
201703142,871200,871200,0
201703143,171600,171600,0
201703144,1203400,1203400,0
201703145,435600,435600,0
201703146,240000,240000,0
201703147,66000,66000,0
201703148,100000,100000,0
201703151,836000,836000,0
201703152,605000,605000,0
201703153,550000,550000,0
201703154,495000,495000,0
201703155,750000,750000,0
201703156,16500000,16500000,0
201703157,686070,686070,0
201703158,369600,369600,0
201703159,270270,270270,0
201703161,660814,660814,0
201703162,74800,74800,0
201703163,55000,55000,0
201703164,648960,648960,0
201703165,33000,33000,0
201703166,550000,550000,0
201703167,11200,11200,0
201703168,1254880,1254880,0
201703169,2035000,2035000,0
201703171,30000000,30000000,0
201703173,33943700,33943700,0
201703174,870000,870000,0
201703175,55000,55000,0
201703176,3369399,3369399,0
201703177,1100000,1100000,0
201703178,1650000,1650000,0
201703179,990000,990000,0
201703181,1826,1826,0
201703182,27228,27228,0
201703183,3122,3122,0
201703184,1846,1846,0
201703185,2901,2901,0
201703186,10386,10386,0
201703187,165000,165000,0
201703191,717,717,0
201703192,124,124,0
201703193,535,535,0
201703194,1026,1026,0
201703195,27,27,0
201703196,1227,1227,0
201703197,3638,3638,0
201703199,139531,139531,0
201703201,4400000,4400000,0
201703202,1760000,1760000,0
201703203,1573000,1573000,0
201703204,1900000,1900000,0
201703205,2000000,2000000,0
201703206,825000,825000,0
201703207,2200000,2200000,0
201703208,3740000,3740000,0
201703209,880000,880000,0
201703211,7779790,7779790,0
201703212,11000,11000,0
201703213,11000,11000,0
201703214,33000,33000,0
201703215,33000,33000,0
201703216,33000,33000,0
201703217,33000,33000,0
201703218,37900,37900,0
201703219,61850,61850,0
201703221,2506000,2506000,0
201703224,165000,165000,0
201703225,3410000,3410000,0
201703226,1452000,1452000,0
201703227,1452000,1452000,0
201703228,1452000,1452000,0
201703229,550000,550000,0
201703231,1267200,1267200,0
201703232,3126750,3126750,0
201703233,3125000,3125000,0
201703234,330000,330000,0
201703235,110000,110000,0
201703236,54080,54080,0
201703241,1320667762,1320667762,0
201703242,11730307,11730307,0
201703244,41664359,41664359,0
201703245,12130,12130,0
201703246,2600400,2600400,0
201703247,792000,792000,0
201703248,484000,484000,0
201703249,21225600,21225600,0
201703251,990000,990000,0
201703252,1452000,1452000,0
201703253,926640,926640,0
201703254,528000,528000,0
201703255,570000,570000,0
201703256,550000,550000,0
201703257,1100000,1100000,0
201703258,605000,605000,0
201703259,660000,660000,0
201703261,137040,137040,0
201703262,56,56,0
201703271,210000000,210000000,0
201703272,50000000,50000000,0
201703273,50000000,50000000,0
201703274,40500000,40500000,0
201703275,300000000,300000000,0
201703276,3300000,3300000,0
201703277,2970000,2970000,0
201703278,179470,179470,0
201703279,7700,7700,0
201703281,2182500,2182500,0
201703283,84898700,84898700,0
201703284,86506750,86506750,0
201703285,82409610,82409610,0
201703286,1150000,1150000,0
201703287,26500000,26500000,0
201703288,743000,743000,0
201703289,3932500,3932500,0
201703291,1331000,1331000,0
201703292,110000,110000,0
201703293,60500,60500,0
201703294,11000000,11000000,0
201703295,11000000,11000000,0
201703296,1415400,1415400,0
201703297,685330,685330,0
201703298,1361250,1361250,0
201703301,24394700,24394700,0
201703302,13550000,13550000,0
201703303,30800000,30800000,0
201703304,6270000,6270000,0
201703305,51700000,51700000,0
201703306,36000,36000,0
201703307,80000,80000,0
201703308,805970,805970,0
201703309,1500000,1500000,0
201703311,394440,394440,0
201703312,394440,394440,0
201703313,99000,99000,0
201703314,1199000,1199000,0
201703315,33150,33150,0
201703316,43500,43500,0
201703317,798118,798118,0
201703318,4000,4000,0
201703319,7600,7600,0
201704011,400000,400000,0
201704012,150000,150000,0
201704013,165000,165000,0
201704014,303028,303028,0
201704015,310000,310000,0
201704016,-110000,-110000,0
201704017,935000,935000,0
201704018,550000,550000,0
201704019,31985016,31985016,0
201704031,394440,394440,0
201704032,788880,788880,0
201704033,6719180,6719180,0
201704034,7353190,7353190,0
201704035,10309910,10309910,0
201704036,7213470,7213470,0
201704037,878755,878755,0
201704038,69730,69730,0
201704039,2462900,2462900,0
201704041,3100000,3100000,0
201704042,189750,189750,0
201704043,1016400,1016400,0
201704044,2323200,2323200,0
201704045,3636600,3636600,0
201704046,5937800,5937800,0
201704047,231000,231000,0
201704048,3000,3000,0
201704049,50950,50950,0
201704051,1396200,1396200,0
201704052,1510809,1510809,0
201704053,4400000,4400000,0
201704054,6149000,6149000,0
201704055,4290000,4290000,0
201704056,14520000,14520000,0
201704057,7150000,7150000,0
201704058,13200000,13200000,0
201704059,8030000,8030000,0
201704061,6347000,6347000,0
201704062,4828320,4828320,0
201704063,5201000,5201000,0
201704064,132000,132000,0
201704065,3410000,3410000,0
201704066,1452000,1452000,0
201704067,66000,66000,0
201704068,66000,66000,0
201704069,66000,66000,0
201704071,85350000,85350000,0
201704072,420000,420000,0
201704073,594000,594000,0
201704074,394440,394440,0
201704075,4230,4230,0
201704076,4212600,4212600,0
201704077,300000,300000,0
201704078,1500000,1500000,0
201704101,1419150,1419150,0
201704102,375480,375480,0
201704104,4188250,4188250,0
201704105,440000,440000,0
201704106,158510,158510,0
201704108,2508000,2508000,0
201704109,9000,9000,0
201704111,1710000,1710000,0
201704112,386500,386500,0
201704113,222981,222981,0
201704114,4765420,4765420,0
201704115,429000,429000,0
201704116,1059520,1059520,0
201704117,183700,183700,0
201704118,224400,224400,0
201704119,240900,240900,0
201704121,1100000,1100000,0
201704123,106507,106507,0
201704124,21782440,21782440,0
201704125,985600,985600,0
201704126,3366000,3366000,0
201704127,1488300,1488300,0
201704128,330000,330000,0
201704129,11000,11000,0
201704131,-43560,-43560,0
201704132,198000,198000,0
201704133,396000,396000,0
201704134,5500,5500,0
201704135,5500,5500,0
201704136,5500,5500,0
201704137,250000,250000,0
201704138,154000,154000,0
201704139,22000,22000,0
201704141,1204910530,1204910530,0
201704142,1163991789,1163991789,0
201704143,165000,165000,0
201704144,17050000,17050000,0
201704145,51600,51600,0
201704146,550000,550000,0
201704147,40218827,40218827,0
201704148,550000,550000,0
201704149,388500,388500,0
201704151,836000,836000,0
201704152,605000,605000,0
201704153,550000,550000,0
201704154,495000,495000,0
201704155,750000,750000,0
201704156,641300,641300,0
201704157,517000,517000,0
201704158,1938750,1938750,0
201704159,1787753,1787753,0
201704161,20000,20000,0
201704171,1163991789,1163991789,0
201704172,3723720,3723720,0
201704173,56880000,56880000,0
201704174,39300000,39300000,0
201704175,2100000,2100000,0
201704176,299200,299200,0
201704177,179000,179000,0
201704178,5000000,5000000,0
201704179,1300000,1300000,0
201704181,36615267,36615267,0
201704182,66000,66000,0
201704183,1694000,1694000,0
201704184,550000,550000,0
201704185,36615267,36615267,0
201704186,67072500,67072500,0
201704187,17112700,17112700,0
201704188,19600000,19600000,0
201704189,56980000,56980000,0
201704191,55000000,55000000,0
201704192,10758000,10758000,0
201704193,2359500,2359500,0
201704194,55000,55000,0
201704195,3551900,3551900,0
201704196,87800,87800,0
201704197,3697980,3697980,0
201704198,55000,55000,0
201704199,218600,218600,0
201704201,46310,46310,0
201704202,233200,233200,0
201704204,100000,100000,0
201704205,2750000,2750000,0
201704206,517000,517000,0
201704207,110000,110000,0
201704208,200000,200000,0
201704209,2240,2240,0
201704211,238920,238920,0
201704212,16303460,16303460,0
201704213,17025000,17025000,0
201704214,691240,691240,0
201704215,429000,429000,0
201704216,8260,8260,0
201704217,330000,330000,0
201704218,561000,561000,0
201704219,167200,167200,0
201704221,87120,87120,0
201704231,3750000,3750000,0
201704241,3100000,3100000,0
201704242,176000,176000,0
201704243,5500000,5500000,0
201704244,147460,147460,0
201704245,11000,11000,0
201704246,11000,11000,0
201704247,3000000,3000000,0
201704248,33000,33000,0
201704249,33000,33000,0
201704251,990000,990000,0
201704252,1672000,1672000,0
201704253,926640,926640,0
201704254,570000,570000,0
201704255,1210000,1210000,0
201704256,250000,250000,0
201704257,916666,916666,0
201704258,-2400000,-2400000,0
201704259,2400000,2400000,0
201704261,13383500,13383500,0
201704262,1270500,1270500,0
201704263,70000,70000,0
201704264,1386000,1386000,0
201704265,275000,275000,0
201704266,847000,847000,0
201704267,640200,640200,0
201704268,101330,101330,0
201704269,10019559,10019559,0
201704271,440000,440000,0
201704273,550000,550000,0
201704274,187000,187000,0
201704275,726000,726000,0
201704276,616000,616000,0
201704277,66000,66000,0
201704279,990000,990000,0
201704282,63840335,63840335,0
201704285,11575000,11575000,0
201704286,66000000,66000000,0
201704287,30888000,30888000,0
201704288,10472000,10472000,0
201704289,29480,29480,0
201704291,1452000,1452000,0
201704292,290000,290000,0
201704293,44000,44000,0
201704294,66000,66000,0
201704295,66000,66000,0
201704296,66000,66000,0
201704297,66000,66000,0
201704298,66000,66000,0
201704299,66000,66000,0
201704301,3822510,3822510,0
201704302,19200,19200,0
201704303,13200,13200,0
201704304,1100000,1100000,0
201704305,99000,99000,0
201704306,45000,45000,0
201704307,0,0,0
201704308,0,0,0
201704309,2508000,2508000,0
201705011,2360000,2360000,0
201705013,528000,528000,0
201705014,3400110,3400110,0
201705015,451000,451000,0
201705016,229166,229166,0
201705017,66000,66000,0
201705018,110000,110000,0
201705019,110000,110000,0
201705021,5472282,5472282,0
201705022,13853600,13853600,0
201705023,1485000,1485000,0
201705025,9999310,9999310,0
201705026,1268310,1268310,0
201705027,12276830,12276830,0
201705028,9716760,9716760,0
201705029,127900,127900,0
201705041,79891580,79891580,0
201705042,780500,780500,0
201705043,48034130,48034130,0
201705044,12000000,12000000,0
201705045,3300000,3300000,0
201705046,8030000,8030000,0
201705047,4290000,4290000,0
201705048,12320000,12320000,0
201705049,13200000,13200000,0
201705051,770000,770000,0
201705052,550000,550000,0
201705053,5753000,5753000,0
201705054,154000,154000,0
201705071,825000,825000,0
201705072,165000,165000,0
201705073,440000,440000,0
201705074,385000,385000,0
201705075,440000,440000,0
201705076,275000,275000,0
201705077,682000,682000,0
201705078,440000,440000,0
201705079,770000,770000,0
201705082,54215400,54215400,0
201705083,10065000,10065000,0
201705084,3300000,3300000,0
201705085,571000,571000,0
201705086,78500,78500,0
201705087,33000,33000,0
201705088,748000,748000,0
201705089,550000,550000,0
201705091,82120,82120,0
201705092,1760000,1760000,0
201705093,66000,66000,0
201705094,66000,66000,0
201705095,220000,220000,0
201705101,297000,297000,0
201705102,121000,121000,0
201705103,897080,897080,0
201705104,158510,158510,0
201705105,5500000,5500000,0
201705106,17100000,17100000,0
201705107,61865000,61865000,0
201705108,880000,880000,0
201705109,1423120,1423120,0
201705111,219500,219500,0
201705112,420000,420000,0
201705113,1100000,1100000,0
201705114,1760000,1760000,0
201705115,150000,150000,0
201705116,430000,430000,0
201705117,1900000,1900000,0
201705118,1210000,1210000,0
201705119,2200000,2200000,0
201705121,550000,550000,0
201705122,1452000,1452000,0
201705123,39600,39600,0
201705124,330000,330000,0
201705125,1475280,1475280,0
201705126,2151070,2151070,0
201705127,550000,550000,0
201705128,330000,330000,0
201705129,45000,45000,0
201705131,550000,550000,0
201705132,605000,605000,0
201705151,10426356,10426356,0
201705152,150530,150530,0
201705153,302500,302500,0
201705154,132000,132000,0
201705155,2184000,2184000,0
201705156,495000,495000,0
201705157,13464,13464,0
201705158,408100,408100,0
201705159,346500,346500,0
201705161,8250000,8250000,0
201705162,165000,165000,0
201705164,3206500,3206500,0
201705165,110000,110000,0
201705166,332000,332000,0
201705167,951170,951170,0
201705168,162800,162800,0
201705169,15000,15000,0
201705171,250000,250000,0
201705172,200000,200000,0
201705173,55000,55000,0
201705174,99000,99000,0
201705175,77000,77000,0
201705176,200000,200000,0
201705177,50000,50000,0
201705178,340000,340000,0
201705179,77000,77000,0
201705181,51536100,51536100,0
201705182,83300800,83300800,0
201705183,616000,616000,0
201705184,452725,452725,0
201705185,33000,33000,0
201705186,40000,40000,0
201705187,49310,49310,0
201705188,121000,121000,0
201705189,39600,39600,0
201705191,198000,198000,0
201705192,396000,396000,0
201705193,2083448,2083448,0
201705196,2750000,2750000,0
201705197,8690000,8690000,0
201705198,1980000,1980000,0
201705199,3245000,3245000,0
201705201,4400000,4400000,0
201705202,1760000,1760000,0
201705203,1573000,1573000,0
201705204,1900000,1900000,0
201705205,2300000,2300000,0
201705206,900000,900000,0
201705207,825000,825000,0
201705208,2200000,2200000,0
201705209,3740000,3740000,0
201705223,66000,66000,0
201705224,550000,550000,0
201705226,22000000,22000000,0
201705227,354943,354943,0
201705228,1689400,1689400,0
201705229,32450,32450,0
201705231,3562350,3562350,0
201705232,2251675,2251675,0
201705233,966611,966611,0
201705234,550000,550000,0
201705235,1100000,1100000,0
201705236,60500,60500,0
201705237,60500,60500,0
201705238,8250,8250,0
201705239,7700,7700,0
201705241,7939800,7939800,0
201705242,2365000,2365000,0
201705243,1227600,1227600,0
201705244,17325000,17325000,0
201705245,924000,924000,0
201705246,55000,55000,0
201705247,330000,330000,0
201705248,770000,770000,0
201705249,561000,561000,0
201705251,1210000,1210000,0
201705252,250000,250000,0
201705253,916666,916666,0
201705255,44000,44000,0
201705256,60000,60000,0
201705257,44000,44000,0
201705258,44000,44000,0
201705259,55000,55000,0
201705261,853000,853000,0
201705262,13673900,13673900,0
201705263,1251600,1251600,0
201705264,240000,240000,0
201705265,24700,24700,0
201705266,4246000,4246000,0
201705267,167200,167200,0
201705268,184800,184800,0
201705269,770000,770000,0
201705291,18500000,18500000,0
201705292,50000000,50000000,0
201705293,11000000,11000000,0
201705294,662640,662640,0
201705295,220000,220000,0
201705296,145500,145500,0
201705297,660000,660000,0
201705298,13200000,13200000,0
201705299,77000,77000,0
201705301,4200000,4200000,0
201705302,40260000,40260000,0
201705303,55000,55000,0
201705304,35853697,35853697,0
201705305,517000,517000,0
201705306,86213,86213,0
201705307,5180,5180,0
201705308,23814000,23814000,0
201705309,165000,165000,0
201705311,3300000,3300000,0
201705312,184300,184300,0
201705313,1183500,1183500,0
201705314,1390000,1390000,0
201705315,56500,56500,0
201705316,3300000,3300000,0
201705317,49639400,49639400,0
201705318,4576000,4576000,0
201705319,61865000,61865000,0
201706011,857400,857400,0
201706012,275000,275000,0
201706013,1672000,1672000,0
201706014,2640000,2640000,0
201706015,13841200,13841200,0
201706016,440000,440000,0
201706017,127900,127900,0
201706018,13802570,13802570,0
201706019,10300950,10300950,0
201706021,6270000,6270000,0
201706022,5720000,5720000,0
201706023,60000000,60000000,0
201706025,633600,633600,0
201706026,105050,105050,0
201706027,440000,440000,0
201706028,3620000,3620000,0
201706029,55000,55000,0
201706051,46090000,46090000,0
201706052,6270000,6270000,0
201706053,20774000,20774000,0
201706054,1424880,1424880,0
201706055,8800000,8800000,0
201706057,4290000,4290000,0
201706058,4290000,4290000,0
201706059,4950000,4950000,0
201706061,66000,66000,0
201706071,66000,66000,0
201706072,-2640000,-2640000,0
201706073,220000,220000,0
201706074,52078300,52078300,0
201706075,2475000,2475000,0
201706076,1000000,1000000,0
201706077,1350050,1350050,0
201706078,13200000,13200000,0
201706079,6270000,6270000,0
201706081,219500,219500,0
201706082,3064960,3064960,0
201706083,370500,370500,0
201706084,825000,825000,0
201706085,665500,665500,0
201706086,265537,265537,0
201706087,277530,277530,0
201706088,550000,550000,0
201706089,183700,183700,0
201706091,297000,297000,0
201706092,121000,121000,0
201706093,1361400,1361400,0
201706094,55000,55000,0
201706095,4400000,4400000,0
201706096,61600,61600,0
201706097,1100000,1100000,0
201706098,514800,514800,0
201706099,715000,715000,0
201706101,440000,440000,0
201706102,11000000,11000000,0
201706103,77644490,77644490,0
201706104,770000,770000,0
201706105,600000,600000,0
201706106,407000,407000,0
201706107,990000,990000,0
201706108,660000,660000,0
201706109,1100000,1100000,0
201706111,323,323,0
201706112,221051,221051,0
201706113,194,194,0
